
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
476575 190630 166801 3119.55 310.512 271695 
CV Recruit
4.36955 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2022  0 193957 211168 129754 129754 129754 129754 1.46974e-09 
2023  0 193957 211168 168342 168369 168575 169318 963.194 
2024  0 193957 211168 161521 162017 164896 175136 13349.7 
2025  0 193957 211168 118265 124088 151906 252046 126657 
2026  0 193957 211168 66894.2 82135 139208 350854 214831 
2027  0 193957 211168 31190 53874.6 138859 479331 272885 
2028  0 193957 211168 0 49939.2 147354 543013 305612 
2029  0 193957 211168 0 48557.1 158181 701139 323161 
2030  0 193957 211168 0 45717.2 158135 708564 337799 
2031  0 193957 211168 0 51663.2 162805 682635 324118 
2032  0 193957 211168 0 55444.8 169517 712077 333961 
2033  0 193957 211168 0 57256.3 171824 765622 327226 
2034  0 193957 211168 0 52845.1 169214 717913 326651 
2035  0 193957 211168 0 49561.6 169316 766005 344684 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2022 476575 190630 166801 248140 248140 248140 248140 1.5134e-09 
2023 476575 190630 166801 226545 226545 226545 226545 3.49246e-10 
2024 476575 190630 166801 209735 209835 210571 213236 3454.09 
2025 476575 190630 166801 187012 187881 192260 208520 19745.7 
2026 476575 190630 166801 153762 158618 180196 256568 95857.9 
2027 476575 190630 166801 109939 123174 166963 343741 169805 
2028 476575 190630 166801 89195.1 114426 179827 465259 224286 
2029 476575 190630 166801 76778.6 111378 188554 487070 249679 
2030 476575 190630 166801 67200.1 109460 199512 624292 267295 
2031 476575 190630 166801 60913.8 111860 200380 643673 274522 
2032 476575 190630 166801 56313.2 114924 203186 624417 277670 
2033 476575 190630 166801 54214.6 117961 205742 649685 268257 
2034 476575 190630 166801 55079.2 116454 209758 668655 276884 
2035 476575 190630 166801 53256.7 114586 208144 679216 272121 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2022  0 0.283367 0.334834 0.249586 0.249586 0.249586 0.249586 4.35763e-15 
2023  0 0.283367 0.334834 0.283367 0.283367 0.283367 0.283367 1.11022e-15 
2024  0 0.283367 0.334834 0.283367 0.283367 0.283367 0.283367 1.11022e-15 
2025  0 0.283367 0.334834 0.277706 0.279065 0.279998 0.283367 0.00217404 
2026  0 0.283367 0.334834 0.225676 0.233274 0.242831 0.283367 0.0198543 
2027  0 0.283367 0.334834 0.157106 0.177815 0.198768 0.283367 0.0447183 
2028  0 0.283367 0.334834 0 0.164127 0.160441 0.283367 0.0981593 
2029  0 0.283367 0.334834 0 0.159358 0.136728 0.283367 0.117543 
2030  0 0.283367 0.334834 0 0.156358 0.13736 0.283367 0.119164 
2031  0 0.283367 0.334834 0 0.160113 0.140446 0.283367 0.11928 
2032  0 0.283367 0.334834 0 0.164906 0.143044 0.283367 0.120241 
2033  0 0.283367 0.334834 0 0.169658 0.1456 0.283367 0.119935 
2034  0 0.283367 0.334834 0 0.1673 0.144788 0.283367 0.121396 
2035  0 0.283367 0.334834 0 0.164378 0.142426 0.283367 0.122679 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2022 2.6702e+06 1.95173e+06 1.88523e+06 1.46093e+06 1.46093e+06 1.46093e+06 1.46093e+06 9.0804e-09 
2023 2.6702e+06 1.95173e+06 1.88523e+06 1.27963e+06 1.33728e+06 1.76399e+06 3.30803e+06 2.00155e+06 
2024 2.6702e+06 1.95173e+06 1.88523e+06 959996 1.09293e+06 1.59989e+06 3.56246e+06 1.99125e+06 
2025 2.6702e+06 1.95173e+06 1.88523e+06 664610 915220 1.76871e+06 4.94087e+06 3.04287e+06 
2026 2.6702e+06 1.95173e+06 1.88523e+06 492289 833063 1.71036e+06 5.7188e+06 2.43577e+06 
2027 2.6702e+06 1.95173e+06 1.88523e+06 374806 812133 1.9146e+06 6.97824e+06 3.55215e+06 
2028 2.6702e+06 1.95173e+06 1.88523e+06 328033 828932 1.74984e+06 6.33713e+06 2.60709e+06 
2029 2.6702e+06 1.95173e+06 1.88523e+06 296908 865666 1.94787e+06 7.45675e+06 3.32067e+06 
2030 2.6702e+06 1.95173e+06 1.88523e+06 291059 886079 1.94106e+06 6.57548e+06 3.14272e+06 
2031 2.6702e+06 1.95173e+06 1.88523e+06 280597 909412 1.94047e+06 7.11941e+06 2.94623e+06 
2032 2.6702e+06 1.95173e+06 1.88523e+06 283077 901928 1.92854e+06 6.66109e+06 3.06559e+06 
2033 2.6702e+06 1.95173e+06 1.88523e+06 274536 856427 1.96786e+06 7.38206e+06 3.69152e+06 
2034 2.6702e+06 1.95173e+06 1.88523e+06 273013 931265 1.97674e+06 7.62584e+06 3.32329e+06 
2035 2.6702e+06 1.95173e+06 1.88523e+06 264217 907169 1.96225e+06 7.68446e+06 3.364e+06 
Alternative 2 Alternative  Stock: goa_wp
Catch goa_wp
