"","model","par","est","se","year"
"1","TMB-Mod1: RE","Espawnbio",0.12592186808839,0.005052284440674,1970
"2","TMB-Mod1: RE","Espawnbio",0.120237710312644,0.031947215725774,1971
"3","TMB-Mod1: RE","Espawnbio",0.109672117092478,0.0166158078702375,1972
"4","TMB-Mod1: RE","Espawnbio",0.0929546134621084,0.00615837290978023,1973
"5","TMB-Mod1: RE","Espawnbio",0.0873007734623768,0.0144658751328222,1974
"6","TMB-Mod1: RE","Espawnbio",0.0943262966612252,0.00981539356334044,1975
"7","TMB-Mod1: RE","Espawnbio",0.126444983024229,0.00523807038242222,1976
"8","TMB-Mod1: RE","Espawnbio",0.142646596682036,0.00328343965278344,1977
"9","TMB-Mod1: RE","Espawnbio",0.131268177913901,0.00289915008953526,1978
"10","TMB-Mod1: RE","Espawnbio",0.139204682615627,0.0024056144082873,1979
"11","TMB-Mod1: RE","Espawnbio",0.191727268472962,0.00251971478407109,1980
"12","TMB-Mod1: RE","Espawnbio",0.211729487064395,0.00217586846504746,1981
"13","TMB-Mod1: RE","Espawnbio",0.343846386465942,0.00246056051302651,1982
"14","TMB-Mod1: RE","Espawnbio",0.479543532393374,0.00295470258670922,1983
"15","TMB-Mod1: RE","Espawnbio",0.530896125937068,0.00402263292164452,1984
"16","TMB-Mod1: RE","Espawnbio",0.482446480272751,0.00440277536677706,1985
"17","TMB-Mod1: RE","Espawnbio",0.442041373119934,0.00551771100301326,1986
"18","TMB-Mod1: RE","Espawnbio",0.415086699478562,0.00488840501497671,1987
"19","TMB-Mod1: RE","Espawnbio",0.419741565966923,0.00472781940827703,1988
"20","TMB-Mod1: RE","Espawnbio",0.434364433870557,0.00396308916245516,1989
"21","TMB-Mod1: RE","Espawnbio",0.444756407546331,0.00355540912417486,1990
"22","TMB-Mod1: RE","Espawnbio",0.436226762590369,0.00351592435385615,1991
"23","TMB-Mod1: RE","Espawnbio",0.393649095212009,0.00323162958434942,1992
"24","TMB-Mod1: RE","Espawnbio",0.426965543868732,0.00277024413394583,1993
"25","TMB-Mod1: RE","Espawnbio",0.502054271271309,0.00311774707662763,1994
"26","TMB-Mod1: RE","Espawnbio",0.418525216386562,0.00286122014814718,1995
"27","TMB-Mod1: RE","Espawnbio",0.385512786633617,0.00268476191383574,1996
"28","TMB-Mod1: RE","Espawnbio",0.341052460094915,0.00256234770371512,1997
"29","TMB-Mod1: RE","Espawnbio",0.265561640084586,0.00260861454106629,1998
"30","TMB-Mod1: RE","Espawnbio",0.251655121487085,0.00240553411867111,1999
"31","TMB-Mod1: RE","Espawnbio",0.239657493337527,0.00258947606100652,2000
"32","TMB-Mod1: RE","Espawnbio",0.225337644903653,0.00262370874628401,2001
"33","TMB-Mod1: RE","Espawnbio",0.191059244729444,0.00212162791151698,2002
"34","TMB-Mod1: RE","Espawnbio",0.175562556796026,0.00185814296574067,2003
"35","TMB-Mod1: RE","Espawnbio",0.190023895127294,0.0015585060406392,2004
"36","TMB-Mod1: RE","Espawnbio",0.231052909791939,0.00167312127487111,2005
"37","TMB-Mod1: RE","Espawnbio",0.24748133347787,0.00180387487738555,2006
"38","TMB-Mod1: RE","Espawnbio",0.220041400128493,0.00169922597652409,2007
"39","TMB-Mod1: RE","Espawnbio",0.219835867620387,0.00175743414922815,2008
"40","TMB-Mod1: RE","Espawnbio",0.218622522428568,0.00156148687362656,2009
"41","TMB-Mod1: RE","Espawnbio",0.300216827305008,0.00172285526000489,2010
"42","TMB-Mod1: RE","Espawnbio",0.351335781401741,0.00167807764334397,2011
"43","TMB-Mod1: RE","Espawnbio",0.374838369082159,0.00175558168949811,2012
"44","TMB-Mod1: RE","Espawnbio",0.404999726783009,0.00224570503491334,2013
"45","TMB-Mod1: RE","Espawnbio",0.312193645836203,0.00182503031082864,2014
"46","TMB-Mod1: RE","Espawnbio",0.29224137461188,0.00204786649652211,2015
"47","TMB-Mod1: RE","Espawnbio",0.311898061711705,0.00184731193308253,2016
"48","TMB-Mod1: RE","Espawnbio",0.42364185540437,0.00254427912078927,2017
"49","TMB-Mod1: RE","Espawnbio",0.412331495372701,0.0026194351161523,2018
"50","TMB-Mod1: RE","Espawnbio",0.330092814683767,0.00272442524693888,2019
"51","TMB-Mod1: RE","Espawnbio",0.241670647782286,0.00203301900645317,2020
"52","TMB-Mod1: RE","Espawnbio",0.255836152980526,0.00197695502313836,2021
"53","TMB-Mod1: RE","Espawnbio",0.249781653452199,0.00198599912939857,2022
"54","TMB-Mod2: Log-AR1-Age","Espawnbio",0.125868403292444,8.95670741609367e-06,1970
"55","TMB-Mod2: Log-AR1-Age","Espawnbio",0.120090843249171,4.05298405029837e-05,1971
"56","TMB-Mod2: Log-AR1-Age","Espawnbio",0.1107421357883,9.71407569993097e-05,1972
"57","TMB-Mod2: Log-AR1-Age","Espawnbio",0.0939879179075318,0.0002307454586478,1973
"58","TMB-Mod2: Log-AR1-Age","Espawnbio",0.0854258060103048,0.000350114517242737,1974
"59","TMB-Mod2: Log-AR1-Age","Espawnbio",0.091792494726913,0.000428150874832143,1975
"60","TMB-Mod2: Log-AR1-Age","Espawnbio",0.122412877547235,0.000483325251343547,1976
"61","TMB-Mod2: Log-AR1-Age","Espawnbio",0.138997542283661,0.000669996377352515,1977
"62","TMB-Mod2: Log-AR1-Age","Espawnbio",0.12835912721396,0.000693647855894827,1978
"63","TMB-Mod2: Log-AR1-Age","Espawnbio",0.136210890546834,0.000635033096765795,1979
"64","TMB-Mod2: Log-AR1-Age","Espawnbio",0.189468982853455,0.000793203636950855,1980
"65","TMB-Mod2: Log-AR1-Age","Espawnbio",0.207789216693747,0.000800222647833412,1981
"66","TMB-Mod2: Log-AR1-Age","Espawnbio",0.336260144357736,0.0011338906934671,1982
"67","TMB-Mod2: Log-AR1-Age","Espawnbio",0.470410355618715,0.00152117327952791,1983
"68","TMB-Mod2: Log-AR1-Age","Espawnbio",0.525691582885084,0.00178791000564319,1984
"69","TMB-Mod2: Log-AR1-Age","Espawnbio",0.481070912560198,0.00174429047295212,1985
