"","model","par","est","se","year"
"71","TMB-Mod2: Log-AR1-Age","Espawnbio",0.407084421441619,0.0714602367833968,1987
"72","TMB-Mod2: Log-AR1-Age","Espawnbio",0.420152283354017,0.068420224906197,1988
"73","TMB-Mod2: Log-AR1-Age","Espawnbio",0.450033891776733,0.0635307990614395,1989
"74","TMB-Mod2: Log-AR1-Age","Espawnbio",0.471771427004811,0.0636955504707596,1990
"75","TMB-Mod2: Log-AR1-Age","Espawnbio",0.470436466464276,0.0633236423788808,1991
"76","TMB-Mod2: Log-AR1-Age","Espawnbio",0.42765143212342,0.0557138397776506,1992
"77","TMB-Mod2: Log-AR1-Age","Espawnbio",0.440818475537831,0.0537127876869385,1993
"78","TMB-Mod2: Log-AR1-Age","Espawnbio",0.495762653236743,0.058149010186943,1994
"79","TMB-Mod2: Log-AR1-Age","Espawnbio",0.403732810703917,0.0477301756475494,1995
"80","TMB-Mod2: Log-AR1-Age","Espawnbio",0.365974206285964,0.0430047370568359,1996
"81","TMB-Mod2: Log-AR1-Age","Espawnbio",0.320766898565931,0.0381848043160391,1997
"82","TMB-Mod2: Log-AR1-Age","Espawnbio",0.246323551127994,0.0308897289286458,1998
"83","TMB-Mod2: Log-AR1-Age","Espawnbio",0.222955125683838,0.0287923976087558,1999
"84","TMB-Mod2: Log-AR1-Age","Espawnbio",0.203538930363377,0.027154713505939,2000
"85","TMB-Mod2: Log-AR1-Age","Espawnbio",0.183404490557988,0.0262058780860208,2001
"86","TMB-Mod2: Log-AR1-Age","Espawnbio",0.147697097945215,0.0225803127002191,2002
"87","TMB-Mod2: Log-AR1-Age","Espawnbio",0.131002024374575,0.0197329660157842,2003
"88","TMB-Mod2: Log-AR1-Age","Espawnbio",0.144227264001914,0.018458564833198,2004
"89","TMB-Mod2: Log-AR1-Age","Espawnbio",0.177461811896152,0.0226399960721737,2005
"90","TMB-Mod2: Log-AR1-Age","Espawnbio",0.187690043586446,0.0255300135407891,2006
"91","TMB-Mod2: Log-AR1-Age","Espawnbio",0.163005648264112,0.024521770916246,2007
"92","TMB-Mod2: Log-AR1-Age","Espawnbio",0.163512040813916,0.0256868445908735,2008
"93","TMB-Mod2: Log-AR1-Age","Espawnbio",0.171813934177402,0.0257641620632828,2009
"94","TMB-Mod2: Log-AR1-Age","Espawnbio",0.266210705254693,0.0349069125910035,2010
"95","TMB-Mod2: Log-AR1-Age","Espawnbio",0.336296367277817,0.0416871083326441,2011
"96","TMB-Mod2: Log-AR1-Age","Espawnbio",0.378018382837936,0.0466668359766795,2012
"97","TMB-Mod2: Log-AR1-Age","Espawnbio",0.421431619617097,0.0537345123612861,2013
"98","TMB-Mod2: Log-AR1-Age","Espawnbio",0.332227784855402,0.0436907153478804,2014
"99","TMB-Mod2: Log-AR1-Age","Espawnbio",0.309457630831052,0.0423614927126819,2015
"100","TMB-Mod2: Log-AR1-Age","Espawnbio",0.301651242072459,0.035375865451407,2016
"101","TMB-Mod2: Log-AR1-Age","Espawnbio",0.38595998499721,0.0444718788934627,2017
"102","TMB-Mod2: Log-AR1-Age","Espawnbio",0.361190722936747,0.0450831625674534,2018
"103","TMB-Mod2: Log-AR1-Age","Espawnbio",0.277926488872148,0.039233925366623,2019
"104","TMB-Mod2: Log-AR1-Age","Espawnbio",0.196154549589561,0.0320606093882268,2020
"105","TMB-Mod2: Log-AR1-Age","Espawnbio",0.211964464381386,0.0361027821258181,2021
"106","TMB-Mod2: Log-AR1-Age","Espawnbio",0.218281135925244,0.0373472989230459,2022
"107","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.140388560155711,NA,1970
"108","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.134403771697116,NA,1971
"109","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.124767311276326,NA,1972
"110","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.108164730780301,NA,1973
"111","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.101684926678403,NA,1974
"112","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.114227765889677,NA,1975
"113","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.158866152329091,NA,1976
"114","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.190872776077002,NA,1977
"115","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.188337065841437,NA,1978
"116","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.19923955902146,NA,1979
"117","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.256299648102452,NA,1980
"118","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.26041389991658,NA,1981
"119","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.381366044804538,NA,1982
"120","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.498031285867607,NA,1983
"121","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.542293389680565,NA,1984
"122","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.497704312678675,NA,1985
"123","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.457074533642455,NA,1986
"124","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.433506748176438,NA,1987
"125","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.445452655279081,NA,1988
"126","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.475184594086239,NA,1989
"127","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.497858656768296,NA,1990
"128","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.495898629684643,NA,1991
"129","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.45019364335123,NA,1992
"130","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.462673486029299,NA,1993
"131","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.519166724138523,NA,1994
"132","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.422594848995343,NA,1995
"133","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.382717672216764,NA,1996
"134","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.335604360674333,NA,1997
"135","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.258845100762363,NA,1998
"136","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.235364412755826,NA,1999
"137","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.215396346722841,NA,2000
"138","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.194783819004254,NA,2001
"139","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.157331027069747,NA,2002
"140","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.139282347822582,NA,2003
"141","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.151942695370646,NA,2004
"142","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.187365495893029,NA,2005
"143","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.198543335650002,NA,2006
"144","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.173144926706669,NA,2007
"145","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.173841166993503,NA,2008
"146","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.18209316183414,NA,2009
"147","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.280051961387353,NA,2010
"148","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.3528818426605,NA,2011
"149","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.396463282701046,NA,2012
"150","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.442090597536996,NA,2013
"151","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.348510439254425,NA,2014
"152","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.324663760842207,NA,2015
"153","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.31384698592446,NA,2016
"154","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.402185766099938,NA,2017
"155","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.377273819777304,NA,2018
"156","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.291431259300528,NA,2019
"157","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.206853854203528,NA,2020
"158","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.223124969081126,NA,2021
"159","TMB-Mod3: Log-AR1-Yr","Espawnbio",0.229621563848528,NA,2022
"160","TMB-Mod4: Log-2D-AR1","Espawnbio",0.111823551337961,0.030764770490994,1970
"161","TMB-Mod4: Log-2D-AR1","Espawnbio",0.106308973164717,0.0301931385739506,1971
"162","TMB-Mod4: Log-2D-AR1","Espawnbio",0.0973198207741645,0.0291325899783471,1972
"163","TMB-Mod4: Log-2D-AR1","Espawnbio",0.0808561903988398,0.0269757740594711,1973
"164","TMB-Mod4: Log-2D-AR1","Espawnbio",0.071249776202704,0.0223645736452112,1974
"165","TMB-Mod4: Log-2D-AR1","Espawnbio",0.0749310239900093,0.0179781961852015,1975
"166","TMB-Mod4: Log-2D-AR1","Espawnbio",0.100333297247012,0.0171277117806612,1976
