"","year","est_Mod 0: Constant","se_Mod 0: Constant","est_Mod 1: ParDevs","se_Mod 1: ParDevs","est_Mod 2: Log-AR1-Age","se_Mod 2: Log-AR1-Age","est_Mod 3: Log-AR1-Yr","se_Mod 3: Log-AR1-Yr","est_Mod 4: Log-2D-AR1","se_Mod 4: Log-2D-AR1","est_Mod 5: Age-specific","se_Mod 5: Age-specific","est_Mod 6: AR1-Yr","se_Mod 6: AR1-Yr","est_Mod 7: 2D-AR1","se_Mod 7: 2D-AR1","est_Mod 8: 3D-AR1cond","se_Mod 8: 3D-AR1cond","est_ADMB","se_ADMB"
"1",2016,0.322287473813982,0.0226743775053327,0.339841841975414,0.0264980578666694,0.33379328125164,0.0255208289327414,0.336228250033992,0.0256848422540547,0.347154082820278,0.0269789499920534,0.330575896415503,0.025321049258429,0.315204170361284,0.0248184081700851,0.337418888380245,0.0262579856053605,0.334665313112786,0.0261513577804118,0.30962,0.037337
"2",2017,0.416247132742043,0.0289107750320523,0.459872904170921,0.0349641180782568,0.42700106184035,0.0324024476575166,0.431002640053194,0.0325802475821707,0.448710469146656,0.0344445336698614,0.422530776363643,0.0321687891320043,0.418913964168227,0.0322001266848606,0.450238541579813,0.0342354744894795,0.445330061895482,0.0337481391344511,0.42084,0.04899
"3",2018,0.393054343592775,0.0299552906093946,0.447900648391085,0.0368296339641075,0.402880563987452,0.0332741446464026,0.406721262589049,0.0334484434971716,0.426375489870734,0.0355009952487195,0.398549184941084,0.0330624699627892,0.403323480083001,0.0336806225923717,0.435219480288123,0.0357916091627751,0.429127454131139,0.0351489889111104,0.4082,0.050974
"4",2019,0.305875512787659,0.0267715984801313,0.360617087312117,0.033260431222703,0.31412181211329,0.0293860422323605,0.317170998638844,0.0295492487647826,0.334279741279337,0.0313948349572137,0.310738218043919,0.0292058868502051,0.32084965749006,0.0303183026793684,0.347227009957747,0.0321330353132302,0.34055824853198,0.0314708004641076,0.32595,0.045412
"5",2020,0.218637023832121,0.0221051220242477,0.266276684005892,0.0275112357910958,0.225551198467697,0.0240783304199975,0.227796751318201,0.0242208831860961,0.241452843161781,0.0256888760324568,0.223076145900531,0.0239318827406152,0.233926195319868,0.025102984445806,0.254302248908011,0.0265226189586451,0.24822485982344,0.0259613268158761,0.23809,0.037461
"6",2021,0.237016732196195,0.0250016512576784,0.280813825684006,0.0296083568061859,0.244059920686314,0.0267586679821688,0.245769135043162,0.0269097042202148,0.25813530382179,0.0278373727861331,0.241841708820952,0.0265905572071468,0.250463002000131,0.0273913497094691,0.270376602955369,0.028658183255927,0.26486806633409,0.0281445124743097,0.25152,0.041051
"7",2022,0.245564249760255,0.0268033888445643,0.269368635657215,0.0290668000758289,0.249553415855402,0.0279148821571815,0.251313848617411,0.0280457010950061,0.257279786179635,0.0281199264095916,0.247104600161266,0.027706104695006,0.247961398454727,0.0277691648504501,0.264357868685024,0.0285817387502908,0.261195260233168,0.0282986968710087,0.2434,0.040375
